,Normalized True Value,Normalized Predicted Value,True Value,Predicted Value
0,0.437907346749425,0.4853949,769.5982746167613,791.62823
1,0.23409025390784088,0.3739832,675.0454856854639,739.94324
2,0.3945877934560025,0.47097012,749.501900352731,784.9364
3,0.3789779284509842,0.31090754,742.2603277717076,710.68176
4,0.4249161768792915,0.5319118,763.5715409136361,813.2079
5,0.25624649496290486,0.23396063,685.3239876245465,674.98535
6,0.29842919748213204,0.3673181,704.8929654381602,736.8512
7,0.30983044701490137,0.34522468,710.1821191867267,726.60187
8,0.4420721289833369,0.44842637,771.5303587713222,774.47815
9,0.7632798188340173,0.71094805,920.5418203623616,896.2646
10,0.3274459302102166,0.37579393,718.3541181161003,740.78326
11,0.3544920764222559,0.36856234,730.9010959899315,737.42847
12,0.3138022597685264,0.43874782,712.0246828683705,769.98816
13,0.19993148350950252,0.27534568,659.1988902768193,694.1843
14,0.4310143707308334,0.45008215,766.4005540649283,775.2463
15,0.42985997804524434,0.40375775,765.8650197462773,753.7559
16,0.2122708015997774,0.28142744,664.923223416301,697.0057
17,0.30681825238495986,0.3819332,708.7847319553907,743.63135
18,0.24399805569337074,0.27926973,679.641814079415,696.0047
19,0.24348391755458754,0.39967817,679.4033002519427,751.8634
20,0.25069398145837907,0.39848334,682.7481210467631,751.3091
21,0.3432837590786857,0.4577284,725.7014454145732,778.79346
22,0.27970657580516023,0.51407355,696.2073538882045,804.93256
23,0.36548458435582276,0.29821932,736.0006304204221,704.79565
24,0.3630061069679591,0.4334029,734.8508399585013,767.50867
25,0.42125800705830896,0.43969467,761.8744793270153,770.4274
26,0.25589276551566287,0.30803213,685.1598889942621,709.34784
27,0.5694428624352337,0.5785564,830.6189165963634,834.8468
28,0.40088251338847414,0.46285066,752.4220839195688,781.16974
29,0.32770714435632,0.40208364,718.475297972402,752.9793
30,0.31908114429625156,0.4065671,714.4736102256587,755.05927
31,0.313669618765517,0.5024932,711.9631493797591,799.5603
32,0.4932936955161502,0.54060626,795.2925560511735,817.24133
33,0.3753672502565757,0.47673386,740.5852980258948,787.6103
34,0.3647009290564027,0.36127844,735.6370848851193,734.0494
35,0.3039719412663271,0.34133613,707.4642997449182,724.798
36,0.39252534585052623,0.40532303,748.5451102699973,754.4821
37,0.3097754277853022,0.36094338,710.1565952155478,733.8939
38,0.18543979118349863,0.1675303,652.4760491909494,644.16766
39,0.3258590222373936,0.36801225,717.6179356275965,737.1732
40,0.37872713047964,0.39198357,742.1439800831095,748.29376
